                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1226,                 3.5001,                 4.2815,                0.00396,                0.76734,                0.01893,                0.00589,                 2.8674,                 3.6288,                 4.1571,                0.00042,                0.00042,                0.00042
                      2,                 3.0332,                 3.2856,                 4.0394,                0.00378,                0.76734,                0.01525,                0.00507,                 2.9234,                 3.5962,                 4.2086,             0.00083162,             0.00083162,             0.00083162
                      3,                 2.9777,                 3.1955,                 3.7664,                0.00369,                0.74944,                0.01795,                0.00567,                  3.029,                 3.5854,                 4.3724,              0.0012142,              0.0012142,              0.0012142
                      4,                 2.8298,                 3.0707,                 3.5211,                0.00761,                0.68233,                0.03861,                0.01067,                 3.3201,                 3.6673,                 4.6946,              0.0015677,              0.0015677,              0.0015677
                      5,                 2.7763,                 2.9924,                 3.4056,                0.10997,                 0.0783,                0.03175,                0.00955,                 3.4012,                  3.775,                 4.9351,               0.001736,               0.001736,               0.001736
                      6,                 2.6767,                 2.9542,                 3.2597,                0.20742,                0.28412,                0.12774,                0.03924,                 2.5635,                 4.4035,                  3.535,               0.001736,               0.001736,               0.001736
                      7,                  2.516,                 2.7394,                  3.157,                  0.099,                0.38479,                0.09086,                0.02101,                 2.7081,                 13.906,                 3.5606,                0.00167,                0.00167,                0.00167
                      8,                 2.4561,                 2.7274,                 3.1165,                0.35572,                0.40716,                0.30234,                0.10683,                 2.2618,                 4.7178,                 3.1303,               0.001604,               0.001604,               0.001604
                      9,                  2.378,                 2.6498,                 3.0382,                0.10558,                0.25503,                0.08189,                0.03084,                 2.2595,                 3.0162,                 3.0736,               0.001538,               0.001538,               0.001538
                     10,                 2.3657,                  2.539,                 2.9914,                0.34506,                0.40782,                0.28314,                0.09861,                  2.267,                 3.8417,                 3.0168,               0.001472,               0.001472,               0.001472
                     11,                 2.2285,                 2.4465,                 2.9039,                0.32616,                0.35794,                0.28093,                0.11117,                 2.1112,                 2.5729,                 2.8832,               0.001406,               0.001406,               0.001406
                     12,                 2.1948,                 2.4072,                 2.8403,                0.29809,                0.41803,                0.26885,                0.12621,                 1.9372,                 2.7215,                  2.756,                0.00134,                0.00134,                0.00134
                     13,                 2.1148,                 2.2801,                 2.7824,                0.52183,                0.38575,                0.41056,                0.22048,                 1.9003,                 2.3971,                 2.6917,               0.001274,               0.001274,               0.001274
                     14,                 2.1013,                 2.2758,                 2.7054,                0.37389,                0.44295,                0.35231,                0.14649,                 2.0394,                 3.6268,                 2.7554,               0.001208,               0.001208,               0.001208
                     15,                 1.9816,                 2.1759,                 2.6617,                0.44584,                0.42297,                0.40493,                0.20382,                 1.8786,                 2.4627,                 2.6916,               0.001142,               0.001142,               0.001142
                     16,                 1.9849,                 2.1329,                 2.6243,                0.58274,                0.44295,                0.47464,                0.22695,                 1.9411,                 2.6114,                 2.5747,               0.001076,               0.001076,               0.001076
                     17,                 1.9116,                 2.0683,                 2.5361,                0.50809,                0.50112,                0.49228,                0.24064,                 1.7223,                 2.1678,                 2.4841,                0.00101,                0.00101,                0.00101
                     18,                 1.8528,                 1.9736,                 2.5088,                0.66058,                 0.5123,                 0.5944,                0.32644,                   1.71,                  1.982,                 2.4208,               0.000944,               0.000944,               0.000944
                     19,                 1.7912,                  1.979,                 2.4284,                0.74985,                0.55034,                0.65446,                0.38285,                 1.5548,                  1.816,                 2.2869,               0.000878,               0.000878,               0.000878
                     20,                 1.7739,                 1.8485,                 2.3854,                0.69308,                0.56376,                0.64962,                0.34177,                 1.7044,                 1.8913,                 2.4424,               0.000812,               0.000812,               0.000812
                     21,                 1.6064,                 1.9738,                 2.3457,                0.77176,                0.54139,                0.64372,                 0.4067,                 1.4697,                 1.8261,                 2.1876,               0.000746,               0.000746,               0.000746
                     22,                 1.4688,                  1.811,                 2.2106,                0.78889,                0.57942,                0.66826,                0.38842,                 1.5662,                  1.858,                  2.241,                0.00068,                0.00068,                0.00068
                     23,                  1.514,                 1.7214,                 2.2938,                0.76869,                0.62192,                0.72596,                0.47602,                 1.4225,                  1.665,                 2.1302,               0.000614,               0.000614,               0.000614
                     24,                 1.3808,                 1.6159,                 2.1474,                0.86654,                0.62461,                0.76484,                0.49378,                  1.347,                 1.5198,                 2.0446,               0.000548,               0.000548,               0.000548
                     25,                 1.3812,                 1.5558,                 2.1161,                0.73849,                0.65548,                0.72201,                0.46831,                  1.385,                 1.5564,                 2.1151,               0.000482,               0.000482,               0.000482
                     26,                 1.3627,                 1.5562,                 2.0908,                0.77126,                 0.6789,                0.75348,                0.50748,                 1.3189,                 1.5044,                 2.0398,               0.000416,               0.000416,               0.000416
                     27,                 1.3371,                 1.4924,                 2.0802,                0.81604,                0.72445,                0.80123,                0.54616,                 1.2745,                 1.3928,                 1.9724,                0.00035,                0.00035,                0.00035
                     28,                 1.3368,                 1.4693,                 2.0758,                0.85069,                0.67338,                0.78578,                0.52629,                 1.3505,                 1.4547,                 2.0807,               0.000284,               0.000284,               0.000284
                     29,                 1.2848,                 1.4058,                 2.0234,                 0.8077,                0.72483,                0.80414,                0.56752,                 1.2195,                 1.3285,                 1.9132,               0.000218,               0.000218,               0.000218
                     30,                 1.2486,                 1.3699,                 2.0021,                0.81216,                0.69575,                0.78501,                0.52585,                 1.3073,                 1.4016,                  2.022,               0.000152,               0.000152,               0.000152
